dim,mean_g_u,std_g_u,mean_g_i,std_g_i
0,0.0185,0.0047,0.4150,0.2174
1,0.4589,0.2487,0.0191,0.0060
2,0.6969,0.2222,0.0163,0.0054
3,0.0141,0.0076,0.9898,0.0052
4,0.0124,0.0039,0.9688,0.0117
5,0.4495,0.1786,0.3686,0.2090
6,0.4479,0.1952,0.1424,0.0429
7,0.0208,0.0142,0.4613,0.1977
8,0.0673,0.0516,0.3440,0.2405
9,0.2885,0.1994,0.0279,0.0154
10,0.0056,0.0025,0.7637,0.1387
11,0.0171,0.0073,0.4302,0.1823
12,0.9719,0.0107,0.0142,0.0059
13,0.0825,0.0660,0.3615,0.1686
14,0.0129,0.0033,0.9643,0.0168
15,0.6982,0.2087,0.0172,0.0065
16,0.0210,0.0120,0.7244,0.1298
17,0.6144,0.1907,0.3941,0.1809
18,0.0224,0.0124,0.8882,0.0714
19,0.0023,0.0011,0.4123,0.2852
20,0.0043,0.0020,0.2262,0.1950
21,0.4639,0.2034,0.0350,0.0099
22,0.0515,0.0194,0.8168,0.0786
23,0.1776,0.3112,0.0024,0.0013
24,0.4672,0.1664,0.0631,0.0337
25,0.6332,0.2119,0.0131,0.0048
26,0.3643,0.3134,0.0080,0.0035
27,0.3994,0.2326,0.0375,0.0118
28,0.6384,0.2344,0.0178,0.0074
29,0.9613,0.0355,0.0311,0.0099
30,0.0126,0.0038,0.4997,0.2290
31,0.9798,0.0084,0.0112,0.0043
32,0.0052,0.0020,0.9880,0.0047
33,0.3961,0.2020,0.1853,0.1240
34,0.0094,0.0026,0.3535,0.2382
35,0.2694,0.3134,0.0772,0.0665
36,0.2993,0.1601,0.2118,0.1336
37,0.0172,0.0045,0.7258,0.1099
38,0.4834,0.2069,0.0228,0.0090
39,0.0205,0.0426,0.1024,0.1446
40,0.2957,0.2118,0.0073,0.0032
41,0.3916,0.2491,0.0191,0.0071
42,0.2365,0.1816,0.0089,0.0037
43,0.0070,0.0024,0.4588,0.2697
44,0.1734,0.1231,0.2085,0.1244
45,0.7323,0.1767,0.7703,0.1286
46,0.0074,0.0033,0.9741,0.0125
47,0.2873,0.2233,0.0092,0.0041
48,0.2634,0.1910,0.0255,0.0080
49,0.9503,0.0254,0.0169,0.0060
50,0.8425,0.1339,0.0168,0.0068
51,0.0131,0.0041,0.9779,0.0074
52,0.0048,0.0038,0.1996,0.2385
53,0.0054,0.0028,0.3022,0.2610
54,0.1442,0.1135,0.3721,0.1640
55,0.0078,0.0051,0.4447,0.3350
56,0.6871,0.1069,0.5247,0.1507
57,0.9825,0.0115,0.0269,0.0202
58,0.0881,0.0651,0.4083,0.1729
59,0.0223,0.0081,0.5436,0.1713
60,0.0053,0.0025,0.1314,0.2246
61,0.4737,0.2284,0.1024,0.0744
62,0.5865,0.2040,0.0573,0.0236
63,0.3309,0.1953,0.0223,0.0074
64,0.0056,0.0027,0.1360,0.1630
65,0.0654,0.0568,0.3477,0.1934
66,0.0347,0.0089,0.6787,0.1220
67,0.0779,0.0911,0.4632,0.2135
68,0.0473,0.0392,0.3597,0.2398
69,0.0045,0.0023,0.2834,0.2374
70,0.0483,0.0557,0.1563,0.1525
71,0.2292,0.1756,0.0243,0.0080
72,0.0134,0.0044,0.4198,0.2006
73,0.2415,0.2029,0.0208,0.0074
74,0.4597,0.2280,0.5479,0.2313
75,0.0143,0.0104,0.2676,0.1887
76,0.7675,0.1118,0.2980,0.1190
77,0.0025,0.0017,0.4496,0.2840
78,0.0110,0.0033,0.9861,0.0052
79,0.3615,0.2214,0.0385,0.0183
80,0.5988,0.2171,0.1161,0.0455
81,0.0319,0.0190,0.5810,0.1603
82,0.0167,0.0105,0.9550,0.0236
83,0.1537,0.1007,0.2550,0.1433
84,0.0119,0.0059,0.8850,0.0777
85,0.0104,0.0038,0.1762,0.1986
86,0.9658,0.0127,0.6375,0.1983
87,0.0025,0.0011,0.2545,0.2313
88,0.0143,0.0090,0.3799,0.2179
89,0.0040,0.0018,0.1560,0.2117
90,0.3186,0.2060,0.0302,0.0099
91,0.1991,0.2696,0.0089,0.0084
92,0.0020,0.0012,0.0030,0.0016
93,0.3547,0.2729,0.4587,0.3144
94,0.0137,0.0065,0.4490,0.2205
95,0.0191,0.0069,0.3009,0.1740
96,0.4972,0.2742,0.0092,0.0042
97,0.0037,0.0013,0.2327,0.2673
98,0.0416,0.0359,0.4045,0.2134
99,0.0126,0.0043,0.7693,0.1326
100,0.8644,0.1574,0.0095,0.0040
101,0.7173,0.1138,0.2391,0.0984
102,0.4051,0.1910,0.1217,0.0581
103,0.0113,0.0039,0.9907,0.0034
104,0.4808,0.1902,0.1665,0.1140
105,0.4764,0.1499,0.1901,0.1146
