dim_sorted_idx,orig_dim,mean_g_u,std_g_u
0,92,0.0020,0.0012
1,19,0.0023,0.0011
2,109,0.0023,0.0012
3,107,0.0025,0.0012
4,77,0.0026,0.0019
5,87,0.0026,0.0011
6,97,0.0038,0.0013
7,89,0.0041,0.0018
8,20,0.0044,0.0020
9,69,0.0046,0.0025
10,52,0.0046,0.0038
11,60,0.0052,0.0024
12,53,0.0053,0.0027
13,32,0.0055,0.0021
14,10,0.0055,0.0025
15,64,0.0057,0.0028
16,43,0.0070,0.0023
17,46,0.0073,0.0032
18,55,0.0075,0.0046
19,34,0.0096,0.0026
20,85,0.0106,0.0042
21,106,0.0109,0.0047
22,78,0.0112,0.0035
23,103,0.0114,0.0039
24,84,0.0116,0.0054
25,99,0.0127,0.0043
26,30,0.0129,0.0038
27,14,0.0131,0.0035
28,51,0.0131,0.0041
29,4,0.0133,0.0041
30,94,0.0135,0.0065
31,72,0.0137,0.0044
32,108,0.0139,0.0068
33,88,0.0143,0.0095
34,3,0.0145,0.0080
35,75,0.0145,0.0112
36,113,0.0153,0.0039
37,82,0.0164,0.0108
38,11,0.0169,0.0071
39,117,0.0173,0.0074
40,37,0.0176,0.0047
41,0,0.0191,0.0050
42,95,0.0195,0.0072
43,7,0.0199,0.0136
44,16,0.0206,0.0113
45,124,0.0218,0.0116
46,18,0.0221,0.0122
47,59,0.0225,0.0083
48,39,0.0230,0.0735
49,120,0.0309,0.0203
50,81,0.0312,0.0179
51,111,0.0333,0.0220
52,66,0.0355,0.0090
53,98,0.0372,0.0312
54,119,0.0372,0.0374
55,70,0.0492,0.0589
56,68,0.0505,0.0638
57,22,0.0532,0.0202
58,65,0.0614,0.0534
59,8,0.0744,0.0544
60,67,0.0798,0.0956
61,13,0.0813,0.0648
62,58,0.0934,0.0700
63,116,0.1336,0.1227
64,83,0.1371,0.0902
65,54,0.1403,0.1093
66,23,0.1405,0.2634
67,110,0.1840,0.1231
68,91,0.1872,0.2740
69,44,0.1917,0.1268
70,125,0.2469,0.0895
71,42,0.2479,0.1898
72,35,0.2553,0.3055
73,122,0.2665,0.2034
74,71,0.2764,0.1978
75,115,0.2805,0.2931
76,73,0.2818,0.2322
77,36,0.2971,0.1559
78,126,0.3076,0.1977
79,40,0.3088,0.2130
80,47,0.3174,0.2402
81,48,0.3205,0.2091
82,93,0.3320,0.2529
83,9,0.3345,0.2096
84,26,0.3381,0.3073
85,112,0.3469,0.2086
86,114,0.3576,0.2488
87,63,0.3651,0.1959
88,90,0.3674,0.2204
89,121,0.3937,0.2291
90,79,0.4188,0.2314
91,74,0.4255,0.2418
92,33,0.4373,0.2009
93,102,0.4376,0.1940
94,41,0.4574,0.2649
95,27,0.4616,0.2418
96,5,0.4721,0.1632
97,105,0.4723,0.1528
98,104,0.4750,0.1894
99,24,0.4788,0.1720
100,6,0.4880,0.1921
101,1,0.4905,0.2442
102,21,0.5129,0.2059
103,61,0.5213,0.2282
104,38,0.5349,0.2122
105,96,0.5412,0.2565
106,127,0.5689,0.2529
107,80,0.6137,0.2121
108,62,0.6382,0.1928
109,17,0.6482,0.1971
110,28,0.6745,0.2245
111,25,0.6787,0.1851
112,123,0.6796,0.1200
113,56,0.7039,0.1024
114,101,0.7123,0.1150
115,2,0.7254,0.2139
116,15,0.7323,0.1954
117,45,0.7591,0.1675
118,76,0.7775,0.1110
119,50,0.8530,0.1233
120,100,0.8810,0.1384
121,49,0.9503,0.0246
122,29,0.9641,0.0316
123,86,0.9654,0.0134
124,12,0.9728,0.0108
125,31,0.9791,0.0085
126,57,0.9825,0.0126
127,118,0.9838,0.0112
